-1.164200000000000000e+04 -3.471890000000000000e+05 -8.028200000000000000e+04 7.757352292537689209e-02 1.863367739133536816e-03 4.579332016874104738e-04 4.319785221014171839e-04
-9.456000000000000000e+03 -3.472290000000000000e+05 -8.027600000000000000e+04 4.264330863952636719e-02 2.438747789710760117e-03 7.222217391245067120e-04 3.244704275857657194e-04
-7.105000000000000000e+03 -3.472370000000000000e+05 -8.027100000000000000e+04 1.639713160693645477e-02 2.543432172387838364e-03 4.724439058918505907e-04 4.534170439001172781e-04
-4.999000000000000000e+03 -3.471940000000000000e+05 -8.026900000000000000e+04 8.750278502702713013e-03 2.581062493845820427e-03 3.521397011354565620e-04 2.758617629297077656e-04
-2.767000000000000000e+03 -3.472440000000000000e+05 -8.026200000000000000e+04 2.998765092343091965e-03 1.377887791022658348e-03 6.914291298016905785e-04 3.722216351889073849e-04
-5.420000000000000000e+02 -3.472150000000000000e+05 -8.026100000000000000e+04 8.828045683912932873e-04 1.304648933000862598e-03 5.820491787744686007e-05 3.629677521530538797e-04
1.691000000000000000e+03 -3.472460000000000000e+05 -8.027300000000000000e+04 1.635580905713140965e-03 1.238235738128423691e-03 8.594024984631687403e-05 3.237317723687738180e-04
3.905000000000000000e+03 -3.472500000000000000e+05 -8.027400000000000000e+04 3.901451418641954660e-04 6.954749696888029575e-04 3.360512782819569111e-04 2.786118711810559034e-04
6.164000000000000000e+03 -3.472500000000000000e+05 -8.026900000000000000e+04 8.455658098682761192e-04 2.909287868533283472e-04 4.377585428301244974e-04 4.679433768615126610e-04
8.328000000000000000e+03 -3.472540000000000000e+05 -8.027400000000000000e+04 1.554617192596197128e-03 4.632384807337075472e-04 3.516938304528594017e-04 1.344888150924816728e-04
1.049400000000000000e+04 -3.472540000000000000e+05 -8.026900000000000000e+04 1.273063127882778645e-03 1.183766406029462814e-03 7.209709292510524392e-05 2.351090188312809914e-05
1.281500000000000000e+04 -3.472570000000000000e+05 -8.027000000000000000e+04 1.269656931981444359e-03 1.244279439561069012e-03 4.426268060342408717e-05 5.310419364832341671e-04
1.496500000000000000e+04 -3.472590000000000000e+05 -8.027900000000000000e+04 1.560756354592740536e-03 7.095733308233320713e-04 1.436059392290189862e-04 1.158236991614103317e-04
-1.598600000000000000e+04 -3.452130000000000000e+05 -8.027400000000000000e+04 9.663243591785430908e-02 2.237457956653088331e-04 2.598911523818969727e-04 4.315990663599222898e-04
-1.379700000000000000e+04 -3.449890000000000000e+05 -8.025000000000000000e+04 1.368433386087417603e-01 1.012125983834266663e-03 4.133672628086060286e-04 6.846627802588045597e-04
-1.154200000000000000e+04 -3.449270000000000000e+05 -8.027700000000000000e+04 1.546255648136138916e-01 1.708096708171069622e-03 1.316714769927784801e-04 6.086342618800699711e-04
-9.429000000000000000e+03 -3.449390000000000000e+05 -8.028800000000000000e+04 1.333566159009933472e-01 3.226111643016338348e-03 3.207043919246643782e-04 2.254785940749570727e-04
-7.198000000000000000e+03 -3.449450000000000000e+05 -8.027800000000000000e+04 8.379793912172317505e-02 2.858082531020045280e-03 7.443766808137297630e-04 3.469577350188046694e-04
-4.962000000000000000e+03 -3.449500000000000000e+05 -8.027800000000000000e+04 4.563711956143379211e-02 5.081805400550365448e-03 8.865309064276516438e-04 5.575506365858018398e-04
-2.744000000000000000e+03 -3.449500000000000000e+05 -8.026200000000000000e+04 1.472266856580972672e-02 4.359546583145856857e-03 6.805013981647789478e-04 8.162621088558807969e-05
-4.470000000000000000e+02 -3.449570000000000000e+05 -8.027100000000000000e+04 3.860736032947897911e-03 2.662270097061991692e-03 6.489407969638705254e-04 2.353624295210465789e-04
